D,Ebulk1,Ebulk2,Edarcy1,Edarcy2,Eshear1,Eshear2,Etotal1,Etotal2,a,k,α,ζ,ηs,κd,φ
50.0,0.0,0.0,9.743020089539895e11,1.2416161903022368e12,6.322878952693811e11,7.147643707419462e11,1.6202398051414226e12,1.8353756369241616e12,0.2,1.833147057200378e-5,0.4212380116508794,4.186345151181018e16,9.927388814334832e15,6.699308783156552e10,0.23713737056616552
50.0,0.0,0.0,1.1977960077522908e12,1.5323887413893354e12,9.890826307353993e11,1.1184421992551555e12,2.208302542513238e12,2.5235436366759824e12,0.2,2.261232099926412e-5,0.4245600626628431,2.450955644480641e16,6.156522227602741e15,6.622622429651822e10,0.25118864315095807
50.0,0.0,0.0,1.4777742687394023e12,1.8974080439911975e12,1.527081467656749e12,1.729577210174071e12,3.0379075695132427e12,3.5057072530967534e12,0.2,2.7975874582859505e-5,0.4278630453476736,1.3811808142127398e16,3.674942404489161e15,6.546813897576764e10,0.26607250597988097
50.0,0.0,0.0,1.829550853782435e12,2.358634949303624e12,2.1459476424701604e12,2.4440885001659565e12,4.0213649673509453e12,4.68898954313794e12,0.2,3.4725259368842596e-5,0.43114706915615864,7.462364283987108e15,2.103180012486676e15,6.471873138592563e10,0.2818382931264455
50.0,0.0,0.0,2.27281497937834e12,2.9455912753100195e12,2.3849427816033096e12,2.760484758541195e12,4.7065116188859795e12,5.527278053378062e12,0.2,4.32595515461047e-5,0.4344122429108461,3.8482914263052185e15,1.1488622336622605e15,6.397790219382795e10,0.298538261891796
50.0,0.0,0.0,2.8340979836755044e12,3.6948239634507417e12,1.9774258481421753e12,2.3540596767023413e12,4.847509642147463e12,5.627145352940428e12,0.2,5.410869556726144e-5,0.4376586748096509,1.884479945944792e15,5.959248834096531e14,6.324555320336759e10,0.31622776601683794
50.0,0.0,0.0,3.5520427431829795e12,4.650709977293537e12,1.4713408909144287e12,1.7618429274814866e12,5.043916338366923e12,5.673497598714991e12,0.2,6.798319260981181e-5,0.4408864724294399,8.710969595286782e14,2.9178737559757225e14,6.252158734247909e10,0.3349654391578278
50.0,0.0,0.0,4.479657671690542e12,5.876963528438621e12,1.4641069721376711e12,1.6834837863121875e12,5.955431320503984e12,6.533601522153768e12,0.2,8.584584794877267e-5,0.4440957427295964,3.774773828558852e14,1.3393402957011658e14,6.180590865027181e10,0.35481338923357547
50.0,0.0,0.0,5.685440646486579e12,7.466189863488604e12,2.4513891076875327e12,2.7158392524664175e12,8.14763633351973e12,8.844474050666066e12,0.2,0.00010901707083260576,0.4472865920555651,1.5210649407995938e14,5.716730991042755e13,6.109842226431026e10,0.3758374042884443
50.0,0.0,0.0,7.264583106304794e12,9.54979733357146e12,5.370777897273044e12,5.878210841235496e12,1.2655111637133828e13,1.370763747728553e13,0.2,0.00013933224927014428,0.4504591261423755,5.645310917995953e13,2.2474387564581355e13,6.039903440804032e10,0.3981071705534973
