Ebulk,Edarcy,Eshear,Etotal,b,k,α,ζ,ηs,κd,φ
34116.32768643961,6.031077895681409e11,6.509654830195048e9,0.0,1.0,1.0e-6,0.7709132347232228,2.043115095375094e21,8.918520862201054e18,1.0496149204995441e10,0.004365158322401661
32369.28455145754,6.032279126508413e11,6.522461397645007e9,0.0,1.0,1.0e-6,0.776127886143166,1.9913744849674015e21,8.895143082630129e18,1.0023744672545452e10,0.0044668359215096305
30719.133236985024,6.033177271257279e11,6.5356095543170185e9,0.0,1.0,1.0e-6,0.7812238376050449,1.940824974238597e21,8.871281738340571e18,9.572601846452755e9,0.004570881896148752
29160.259508842977,6.033780061611244e11,6.549109680190222e9,0.0,1.0,1.0e-6,0.7862037910497768,1.8914397273922053e21,8.846928281280126e18,9.1417637922975e9,0.004677351412871981
27687.379942758056,6.034094806287211e11,6.562972507599932e9,0.0,1.0,1.0e-6,0.7910703869145961,1.8431925244327986e21,8.822074081376676e18,8.730316644803316e9,0.004786300923226385
26295.52261890992,6.034128419240055e11,6.577209135293548e9,0.0,1.0,1.0e-6,0.7958262055330471,1.7960577471987182e21,8.796710429405393e18,8.337387669406708e9,0.004897788193684461
24980.00888997961,6.033887445587449e11,6.591831043133143e9,0.0,1.0,1.0e-6,0.8004737685031121,1.7500103657110595e21,8.770828540097773e18,7.962143411069937e9,0.005011872336272725
23736.436170969268,6.033378085501838e11,6.606850107478008e9,0.0,1.0,1.0e-6,0.8050155400241954,1.7050259248319192e21,8.744419555504548e18,7.603787926411229e9,0.005128613839913648
22560.661700392873,6.032606216285635e11,6.6222786172828665e9,0.0,1.0,1.0e-6,0.8094539282036752,1.6610805312243884e21,8.717474548622138e18,7.26156109540203e9,0.005248074602497723
21448.78722392334,6.031577412819102e11,6.638129290948994e9,0.0,1.0,1.0e-6,0.8137912863337132,1.61815084060759e21,8.689984527295285e18,6.934737009050634e9,0.005370317963702527
20397.14455319703,6.030296966546735e11,6.654415293968319e9,0.0,1.0,1.0e-6,0.8180299141390017,1.5762140452996362e21,8.661940438406239e18,6.622622429651817e9,0.005495408738576248
19402.28195417465,6.028769903148568e11,6.671150257402663e9,0.0,1.0,1.0e-6,0.8221720589961077,1.5352478620419503e21,8.633333172363206e18,6.324555320336761e9,0.005623413251903491
18460.951321207733,6.027000999024489e11,6.688348297242505e9,0.0,1.0,1.0e-6,0.8262199171250624,1.4952305200983546e21,8.604153567900014e18,6.039903440804038e9,0.005754399373371567
17570.096094747594,6.024994796704937e11,6.706024034693578e9,0.0,1.0,1.0e-6,0.8301756347538256,1.4561407496223788e21,8.57439241719869e18,5.768063006253209e9,0.00588843655355589
16726.839882415614,6.022755619288171e11,6.724192617440549e9,0.0,1.0,1.0e-6,0.834041309256244,1.4179577702867363e21,8.544040471348955e18,5.50845740667633e9,0.0060255958607435805
15928.475744946216,6.020287583992328e11,6.742869741942283e9,0.0,1.0,1.0e-6,0.837818990264107,1.380661280168552e21,8.513088446156047e18,5.260535983790765e9,0.006165950018614822
15172.456110270847,6.017594614900846e11,6.76207167681502e9,0.0,1.0,1.0e-6,0.8415106807538886,1.344231444884506e21,8.481527028311008e18,5.023772863019165e9,0.00630957344480193
14456.38328074514,6.014680454970923e11,6.781815287363782e9,0.0,1.0,1.0e-6,0.8451183381087519,1.308648886969943e21,8.449346881936387e18,4.797665838038978e9,0.006456542290346556
13778.000500214817,6.011548677367029e11,6.802118061326595e9,0.0,1.0,1.0e-6,0.8486438751563793,1.2738946754961696e21,8.416538655520825e18,4.58173530553554e9,0.006606934480075964
13135.183549260628,6.008202696174655e11,6.822998135899394e9,0.0,1.0,1.0e-6,0.8520891611831792,1.2399503159203285e21,8.383092989256436e18,4.375523247899107e9,0.006760829753919818
12525.932838561721,6.004645776543942e11,6.844474326114779e9,0.0,1.0,1.0e-6,0.8554560229254072,1.2067977401622798e21,8.349000522792482e18,4.17859226170808e9,0.006918309709189363
11948.365971857587,6.000881044307373e11,6.866566154651226e9,0.0,1.0,1.0e-6,0.8587462455377246,1.1744192969032038e21,8.314251903420065e18,3.990524629937757e9,0.00707945784384138
11400.710751477509,5.996911495111401e11,6.889293883156303e9,0.0,1.0,1.0e-6,0.8619615735397115,1.142797742100445e21,8.278837794700665e18,3.8109214359264965e9,0.007244359600749898
10881.298600832344,5.992740003097672e11,6.912678545170453e9,0.0,1.0,1.0e-6,0.8651037117408347,1.1119162297136403e21,8.242748885554253e18,3.639401717219965e9,0.007413102413009177
