D,Ecomp,Ecomp_solid,Edarcy,Eshear,Eshear_solid,Etotal,Etotal_solid,a,k,α,ζ,ηs,κd,φ
300.0,NaN,2.7155906972085644e7,NaN,NaN,1.0739643690348536e10,NaN,1.083415632234381e10,0.01,2.3479900239756652e-11,0.26717546686109594,2.4912048093744513e20,5.577112867249696e18,1.0740635927405054e11,0.0223872113856834
300.0,2.0509092395786915e7,2.7155906972085644e7,1.0530996535716785e9,1.0453021501643871e10,1.0739643690348536e10,1.1589870993926702e10,1.083415632234381e10,0.1,2.3479900239756657e-9,0.26717546686109594,2.4912048093744513e20,5.577112867249696e18,1.0740635927405054e11,0.0223872113856834
300.0,2.05093877563722e7,2.7155906972085644e7,4.198831655693945e9,1.0453014757615086e10,1.0739643690348536e10,1.4736583623776367e10,1.083415632234381e10,0.2,9.391960095902663e-9,0.26717546686109594,2.4912048093744513e20,5.577112867249696e18,1.0740635927405054e11,0.0223872113856834
50.0,NaN,9.294091097332638e6,NaN,NaN,1.4075179212155945e9,NaN,1.4239942132497377e9,0.01,3.335236709556924e-11,0.2755640399250099,2.066229853238109e20,5.190134732728836e18,1.0496149204995453e11,0.025118864315095794
50.0,5.7571187869049795e6,9.294091097332638e6,3.2248115326004374e8,1.3249214975439727e9,1.4075179212155945e9,1.6594012534276862e9,1.4239942132497377e9,0.1,3.335236709556924e-9,0.2755640399250099,2.066229853238109e20,5.190134732728836e18,1.0496149204995453e11,0.025118864315095794
50.0,5.7572874005857585e6,9.294091097332638e6,1.262605783151208e9,1.3249167156002085e9,1.4075179212155945e9,2.599994817716234e9,1.4239942132497377e9,0.2,1.3340946838227697e-8,0.2755640399250099,2.066229853238109e20,5.190134732728836e18,1.0496149204995453e11,0.025118864315095794
300.0,NaN,3.2741239123232737e7,NaN,NaN,1.1540394950300508e10,NaN,1.1645510546727266e10,0.01,3.335236709556924e-11,0.2755640399250099,2.066229853238109e20,5.190134732728836e18,1.0496149204995453e11,0.025118864315095794
300.0,2.461670292822233e7,3.2741239123232737e7,1.4875767302792625e9,1.121536424318999e10,1.1540394950300508e10,1.2795452430327593e10,1.1645510546727266e10,0.1,3.335236709556924e-9,0.2755640399250099,2.066229853238109e20,5.190134732728836e18,1.0496149204995453e11,0.025118864315095794
300.0,2.4617137507678743e7,3.2741239123232737e7,5.928651539075242e9,1.1215355229878826e10,1.1540394950300508e10,1.723790239599715e10,1.1645510546727266e10,0.2,1.3340946838227697e-8,0.2755640399250099,2.066229853238109e20,5.190134732728836e18,1.0496149204995453e11,0.025118864315095794
50.0,NaN,1.1307140865259618e7,NaN,NaN,1.5261590951128685e9,NaN,1.5452550170349195e9,0.01,4.740910460510725e-11,0.28385658978709793,1.6983717240508154e20,4.786661878007001e18,1.02572276798273e11,0.028183829312644536
50.0,6.90371057266127e6,1.1307140865259618e7,4.5492982034483707e8,1.4325344607821908e9,1.5261590951128685e9,1.9011639726647506e9,1.5452550170349195e9,0.1,4.740910460510726e-9,0.28385658978709793,1.6983717240508154e20,4.786661878007001e18,1.02572276798273e11,0.028183829312644536
50.0,6.90397912093363e6,1.1307140865259618e7,1.7760231883667297e9,1.4325274032661645e9,1.5261590951128685e9,3.222908193477153e9,1.5452550170349195e9,0.2,1.8963641842042902e-8,0.28385658978709793,1.6983717240508154e20,4.786661878007001e18,1.02572276798273e11,0.028183829312644536
300.0,NaN,3.9832814159163386e7,NaN,NaN,1.2513147099737635e10,NaN,1.2631449299918812e10,0.01,4.740910460510725e-11,0.28385658978709793,1.6983717240508154e20,4.786661878007001e18,1.02572276798273e11,0.028183829312644536
300.0,2.9821808871068925e7,3.9832814159163386e7,2.1029999385310907e9,1.2141879925096737e10,1.2513147099737635e10,1.4348286270252989e10,1.2631449299918812e10,0.1,4.740910460510726e-9,0.28385658978709793,1.6983717240508154e20,4.786661878007001e18,1.02572276798273e11,0.028183829312644536
